pan 0.017453292519943295, tilt 0.0, dist 47, x 46.99284167235039, y 0.820263102552325, z 0.0, m 47.0
pan 0.3665191429188092, tilt 0.0, dist 138, x 128.83409885661385, y 49.45477703725144, z 0.0, m 138.0
pan 0.7155849933176751, tilt 0.0, dist 186, x 140.3759819214356, y 122.02697939223435, z 0.0, m 186.0
pan 1.064650843716541, tilt 0.0, dist 130, x 63.025250632023834, y 113.70056192812145, z 0.0, m 130.0
pan 1.413716694115407, tilt 0.0, dist 128, x 20.02361152514956, y 126.42410759617763, z 0.0, m 128.0
pan 1.7627825445142729, tilt 0.0, dist 129, x -24.61436040357428, y 126.62990666474866, z 0.0, m 129.0
pan 2.111848394913139, tilt 0.0, dist 131, x -67.46998781321709, y 112.28891639197671, z 0.0, m 131.0
pan 2.4609142453120048, tilt 0.0, dist 240, x -186.51503074967303, y 151.03689385196097, z 0.0, m 240.0
pan 2.8099800957108707, tilt 0.0, dist 225, x -212.74167950984628, y 73.25283475286024, z 0.0, m 225.0
pan 3.12413936106985, tilt 0.08726646259971647, dist 222, x -221.12153996471883, y 3.8596908371116094, z 19.348574889980114, m 221.1552229763675
pan 2.775073510670984, tilt 0.08726646259971647, dist 225, x -209.25627100171715, y 80.32595654318361, z 19.610042118223088, m 224.14380707064274
pan 2.426007660272118, tilt 0.08726646259971647, dist 158, x -118.79035382188164, y 103.26287915785882, z 13.77060735412999, m 157.3987622984958
pan 2.076941809873252, tilt 0.08726646259971647, dist 130, x -62.785420525525545, y 113.26789696284676, z 11.330246557195562, m 129.5053107519269
pan 1.7278759594743862, tilt 0.08726646259971647, dist 129, x -20.103254822674646, y 126.92695558656045, z 11.243090814447903, m 128.50911605383519
pan 1.3788101090755203, tilt 0.08726646259971647, dist 129, x 24.520695330960113, y 126.1480416392752, z 11.243090814447903, m 128.50911605383519
pan 1.0297442586766545, tilt 0.08726646259971647, dist 132, x 67.72632233938234, y 112.71552868449157, z 11.504558042690878, m 131.49770014811043
pan 0.6806784082777885, tilt 0.08726646259971647, dist 186, x 143.99909567911345, y 116.6081684754662, z 16.210968151064417, m 185.29221384506468
pan 0.33161255787892263, tilt 0.08726646259971647, dist 137, x 129.04312109842394, y 44.43310989926956, z 11.940336756429168, m 136.47867363856915
pan 0.017453292519943295, tilt 0.17453292519943295, dist 48, x 47.26357257702724, y 0.8249887280715346, z 8.335112528012656, m 47.27077214458598
pan 0.3665191429188092, tilt 0.17453292519943295, dist 50, x 45.969862103744404, y 17.646176757164973, z 8.682408883346517, m 49.2403876506104
pan 0.7155849933176751, tilt 0.17453292519943295, dist 186, x 138.24335533293132, y 120.17311538213333, z 32.298561046049045, m 183.1742420602707
pan 1.064650843716541, tilt 0.17453292519943295, dist 130, x 62.06775545795464, y 111.9731949086587, z 22.574263096700943, m 128.02500789158705
pan 1.413716694115407, tilt 0.17453292519943295, dist 129, x 19.873465747281823, y 125.47612446374316, z 22.400614919034012, m 127.04020013857483
pan 1.7627825445142729, tilt 0.17453292519943295, dist 129, x -24.24041296087665, y 124.70611384665675, z 22.400614919034012, m 127.04020013857483
pan 2.111848394913139, tilt 0.17453292519943295, dist 131, x -66.44496709409539, y 110.58299544015829, z 22.747911274367873, m 129.00981564459926
pan 2.4609142453120048, tilt 0.17453292519943295, dist 243, x -185.97746643978323, y 150.60158285699674, z 42.19650717306407, m 239.30828398196655
